id,莆仙话,拼音,国际音标,释义,例句_莆仙话,例句_普通话,文化注释,来源
1143,搓乌面,co1ou1ming4,tsho21ɔu13miŋ42,丢面子。,,,,hinghwa-RAG词典
1144,搓黑板,co1hek6bang3,tsho21hɛp4paŋ453,擦黑板。,,,,hinghwa-RAG词典
1145,臊,co1,tsho533,腥：者鱼味素～（这鱼味道很浓）,,,,hinghwa-RAG词典
1146,臊油,co1iu2,tsho21iu13,动物油。,,,,hinghwa-RAG词典
1147,此人,co3zing2,tso13liŋ13,这家伙，含轻蔑意：～今旦转再（又）迟到。,,,,hinghwa-RAG词典
1148,出,cok6,tshœʔ1,量词。①相当于“次”。②用于一段时间：有蜀～（有一阵子）。③。一个独立的剧目或节目。,,,,hinghwa-RAG词典
1149,出山,cok6sua1,tshœt4ɬua533,出殡。,,,,hinghwa-RAG词典
1150,出王,cok6äng2,tshɔʔ4ɒŋ13,象棋下法之一。出老将。,,,,hinghwa-RAG词典
1151,出水,cok6zui3,tshɔt4tsui453,房屋封顶：厝起～咯（房子封顶了）。,,,,hinghwa-RAG词典
1152,出长,cok6dung2,tshɔt4tuŋ13,多出：分做五份，复有～几斤。,,,,hinghwa-RAG词典
1153,出月,cok6dung2,cok6guai2tshok4kuai1,3婴孩满月。那天，举行满月仪式。,,,,hinghwa-RAG词典
1154,出正,cok6zia4,tshɔt4tsia533,正月以后：等～了再讲。,,,,hinghwa-RAG词典
1155,出疕,cok6pi3,tshɔp4phi453,长痂。,,,,hinghwa-RAG词典
1156,出物,cok6muai2,tshɔp4muai13,患麻疹。,,,,hinghwa-RAG词典
1157,出侬前,cok6nang2se2,tshok4nan21ne13,出众。,,,,hinghwa-RAG词典
1158,出珠,cok6zou1,tshɔt4tsɔu533,出天花。,,,,hinghwa-RAG词典
1159,出超,cok6tiao1,tshœt4thiau533,出人头地。,,,,hinghwa-RAG词典
1160,出萼,cok6gäk7,tshœk4kɒʔ4,,,,同【发萼】在第98页。,hinghwa-RAG词典
1161,出落,cok6lo2,tshɔt4lo13,酒席。,,,,hinghwa-RAG词典
1162,出嘴,cok6cui4,tshœt4tshui42,发誓：伊既然～咯，笃信伊蜀环。②话说出口：伊蜀～笃夷呼呼（乱说）。,,,,hinghwa-RAG词典
1163,出穗,cok6sui4,tshɔt4ɬui42,抽穗。,,,,hinghwa-RAG词典
1164,冲狂,cong1gäng2,tshœŋ21kɒŋ13,生气：我听了大～,,,,hinghwa-RAG词典
1165,村夫,cong1hu1,tshɔŋ21ŋu533,粗野：伊是～厄侬（他是个粗野的人）。,,,,hinghwa-RAG词典
1166,伸心爿,cong1sing1be2,tshɔn21nim13me13,汉字偏旁，竖心旁“忄”。,,,,hinghwa-RAG词典
1167,伸伸,cong1cong1,tshɔn21tshɔŋ533,用在数量词或数词之后，表示“…多一点点”，如蜀斤～,,,,hinghwa-RAG词典
1168,春头,cong1tao2,tshɔn21nau13,年初。,,,,hinghwa-RAG词典
1169,春动,cong1dang5,tshɔn533taŋ21,立春。,,,,hinghwa-RAG词典
1170,春尾,cong1buai3,tshom21muai453,暮春，农历三、四月的时候。,,,,hinghwa-RAG词典
1171,春雨涿涿,cong1hou5däk7däk7,tshɔŋ13ŋɔu21tɒt1tɒʔ4,春雨潇潇。涿，（雨点）落下。,,,,hinghwa-RAG词典
1172,春卷,cong1gëng3,tshoŋ21ŋœŋ453,莆仙传统食品。用面粉加少许水和盐拌揉捏，放在平底锅中摊烙成圆形薄皮，然后将制好的馅心（肉末、豆沙、韭菜、猪油）摊放在薄皮上，将两头折起，卷成条状下油锅炸成金黄色即可。又称春饼、薄饼。,,,,hinghwa-RAG词典
1173,寸木难求,cong4bäk7nang2giu2,tshɔp55pɒʔ4naŋ21kiu13,喻备料宁愿多些。准备木料时，如果短了一寸，再加长是不可能了，就成了废料。,,,,hinghwa-RAG词典
1174,寸枣,cong4zo3,tshɔn55no453,莆仙特色食品。糯米浆压成半干，揉成约一寸长铅笔粗细的条子，油炸后，放入煮熟的白糖中炒。,,,,hinghwa-RAG词典
1175,粗大,cou1dua5,tshɔu13lua21,（人体、物体部分）又粗又大：脚肚～。②体形大：伊侬生～。,,,,hinghwa-RAG词典
1176,粗水,cou1zui3,tshɔu21lui453,人粪尿。,,,,hinghwa-RAG词典
1177,粗水磅,cou1zui3bäng5,tshɔu21lui13pɒŋ21,一种用于度量人粪尿浓度的仪器。,,,,hinghwa-RAG词典
1178,粗过,cou1gua1,tshɔu21kua533,长得老相：伊生大～。,,,,hinghwa-RAG词典
1179,粗光平直,cou1gung1ba2dik7,tshɔu21kuŋ21pa13tiʔ4,质量大致合格；凑合：者只椅子是我家己做厄，～。,,,,hinghwa-RAG词典
1180,粗米,cou1bi3,tshɔu21pi453,含有糠的米。,,,,hinghwa-RAG词典
1181,粗沙,cou1sua1,tshɔu21lua533,颗粒大的沙子。,,,又叫【大核沙】在第60页。,hinghwa-RAG词典
1182,粗货,cou1ho4,tshɔu21o42,粗制滥造的产品。,,,,hinghwa-RAG词典
1183,粗面,cou1ming4,tshɔu21miŋ42,麻脸。,,,,hinghwa-RAG词典
1184,粗残,cou1cang2,tshɔu21tshaŋ13,使用工具不爱惜，乱用：伊使公家物大～，牛乞使会无角。,,,,hinghwa-RAG词典
1185,粗桸,cou1hüä1,tshɔu21yɒ533,舀取人粪尿的勺状农具，有长柄。,,,,hinghwa-RAG词典
1186,粗桶,cou1tang3,tshɔu21laŋ453,装人粪尿的木桶。,,,,hinghwa-RAG词典
1187,粗鲁不文,cou1lou2bok6mong2,tshɔu21lɔu13pɔp4mɔŋ13,粗鲁不文明：伊是个～厄侬，汝伓使合伊一样。,,,,hinghwa-RAG词典
1188,粗嘴,cou1cui4,tshɔu21lui42,粗言野语：伊～骂人。,,,,hinghwa-RAG词典
1189,粗糠,cou1kung1,tshɔu21khuŋ533,谷子的中果皮。,,,,hinghwa-RAG词典
1190,厝,cou4,tshɔu42,房屋。②量词。相当于“家”。,,,,hinghwa-RAG词典
1191,厝瓦,cou4hüä5,tshɔu42yɒ21,瓦片。,,,,hinghwa-RAG词典
1192,厝内,cou4li5,tshɔu55li21,屋内。,,,,hinghwa-RAG词典
1193,厝心,cou4sing1,tshɔu55ɬiŋ533,一片房子的中央位置。,,,,hinghwa-RAG词典
1194,厝外,cou4gua5,tshɔu42ua21,屋外。,,,,hinghwa-RAG词典
1195,厝主,cou4zou3,tshɔu55lɔu453,房东。,,,,hinghwa-RAG词典
1196,厝头前,cou4tao2se2,tshɔu42lau21le13,房前。,,,,hinghwa-RAG词典
1197,厝边,cou4bing1,tshɔu55iŋ533,房子的两边：～隔壁,,,,hinghwa-RAG词典
1198,厝边居,cou4bing1gü1,tshɔu42in21ni533,邻居。,,,,hinghwa-RAG词典
1199,厝边隔壁,cou4bing1ga5bia5,thɔu42iŋ533ka42ia21,左邻右舍。,,,,hinghwa-RAG词典
1200,厝地,cou4de5,tshɔu42le21,用于盖房子的地方。,,,,hinghwa-RAG词典
1201,厝囝,cou4güä3,tshɔu55yɒ453,小屋。,,,,hinghwa-RAG词典
1202,厝后,cou4ao5,tshɔu42au21,屋后。,,,,hinghwa-RAG词典
1203,厝后间,cou4ao5ge1,tshɔu42au21e533,在原来的房屋后面再续接的房间。,,,,hinghwa-RAG词典
1204,厝壳,cou4kak6,tshɔu42khaʔ1,主体工程已完工但还没有装修的房子。,,,也叫【厝坯】见下方。,hinghwa-RAG词典
1205,厝里,cou4li3,tshɔu42li453,屋内。,,,,hinghwa-RAG词典
1206,厝里撑伞,cou4li3ta1sua3,tshɔu55li453tha21ɬua453,喻空忙。②喻双保险。,,,,hinghwa-RAG词典
1207,厝间,cou4ge1,tshɔu55e533,房间。,,,,hinghwa-RAG词典
1208,厝坯,cou4puai1,tshɔu55phuai533,同见上方【厝壳】。,,,,hinghwa-RAG词典
1209,厝顶,cou4deng3,tshɔu55lɛŋ453,屋顶。,,,,hinghwa-RAG词典
1210,厝顶面,cou4deng3ming4,tshɔu21lem13miŋ42,屋顶上面。,,,,hinghwa-RAG词典
1211,厝契,cou4ke4,tshɔu55khe42,房产证。,,,,hinghwa-RAG词典
1212,厝前,cou4se2,tshɔu42le13,房前。,,,,hinghwa-RAG词典
1213,厝租,cou4zou1,tshɔu55lɔu533,房租。,,,,hinghwa-RAG词典
1214,厝影,cou4ng3,tshɔu55ŋ453,房屋阴遮处。②在远处模糊的房子影子。,,,,hinghwa-RAG词典
1215,吹牛蜱,cuai1gu2bi1,tshuai21ku13pi533,吹牛；说大话：伊者个侬好～。,,,,hinghwa-RAG词典
1216,吹笙,cuai1seng1,tshuai21lɛŋ533,吹唢呐。,,,,hinghwa-RAG词典
1217,炊,cuai1,tshuai533,蒸：～馒头,,,,hinghwa-RAG词典
1218,炊巾,cuai1güng1,tshuai21iŋ533,蒸米糕等放在蒸笼底的垫布。,,,,hinghwa-RAG词典
1219,炊馃,cuai1guai3,tshuai42kuai453,蒸米馃。,,,,hinghwa-RAG词典
1220,炊糜,cuai1ma2,tshuai21ma13,蒸饭。,,,,hinghwa-RAG词典
1221,箠,cuai2,tshuai13,小木（或竹）条；鞭子。也称箠囝。,,,,hinghwa-RAG词典
1222,箠箍,cuai2kou1,tshui21khɔu533,短木棍。,,,,hinghwa-RAG词典
1223,箠篙,cuai2go1,tshuai21o533,竹杆。,,,,hinghwa-RAG词典
1224,找侬,cuai24nang2,tsau21naŋ13,找对象。,,,,hinghwa-RAG词典
1225,找空,cuai4kang1,tshuai55khaŋ533,钻空子，找茬：伊～卜甲我齐嗷（他找茬儿要跟我吵架）,,,,hinghwa-RAG词典
1226,□,cuai5,tshuai21,拔火罐。,,,,hinghwa-RAG词典
1227,啜,cuai5,tshuai21,小口喝：～蜀嘴酒。,,,,hinghwa-RAG词典
1228,穿九莲,cuang1gao3leng2,ɬœŋ21kau13lɛŋ13,道士念经做醮仪式。,,,,hinghwa-RAG词典
1229,嘴长目土,cui3dung2mak7tou3,tshui42tuŋ13mat4thɔu453,形容生气的样子。,,,,hinghwa-RAG词典
1230,嘴歪目𣌍,cui3uai1mak7ni5,tshui42uai55mat4ni21,用努嘴或眨眼示意。,,,,hinghwa-RAG词典
1231,碎使,cui4sai3,tshui55lai453,零花：钱放少少乞伊～。,,,,hinghwa-RAG词典
1232,碎钱囝,cui4zing2güä3,tshui42liŋ13ŋyɒ453,零碎的钱。,,,,hinghwa-RAG词典
1233,碎票,cui4piao4,tsui55βiau42,零碎的低面值的钱。,,,,hinghwa-RAG词典
1234,粹好,cui4ho3,tshui55ho453,还好；还可以：今旦课讲～。,,,,hinghwa-RAG词典
1235,嘴,cui4,tshui42,口；嘴巴。②量词。相当于“口”：蜀～糜。,,,“嘴”，训读字。本字为“喙”。,hinghwa-RAG词典
1236,嘴门,cui4muai2,tshui42muai13,嘴唇。△～花请客（相当于“口惠而实不至”）。,,,,hinghwa-RAG词典
1237,嘴开天大,cui4kui1ting1dua5,tshui42khui55thiŋ55tua21,狮子大开口。,,,,hinghwa-RAG词典
1238,嘴无闲,cui4bo2e2,tshui42po21e13,多嘴：汝伓使（不要）～，讲了得罪侬。,,,也叫【嘴闲】见下方。,hinghwa-RAG词典
1239,嘴长,cui4dung2dung2,tshui42tuŋ13tuŋ13,形容生气的样子。也称嘴土土：伊乞气阿～。,,,,hinghwa-RAG词典
1240,嘴方,cui4häng1,tshui55ɒŋ533,不单说，常说“嘴方甜”，意为嘴甜。,,,,hinghwa-RAG词典
1241,嘴斗,cui4dao3,tshui55lau453,胃口：～好。,,,,hinghwa-RAG词典
1242,嘴斗舛,cui4häng1,tshui55lau453tshœŋ42,择食的毛病严重。,,,,hinghwa-RAG词典
1243,嘴斗好,cui4dao3ho3,tshui55lau453ho453,不挑食，什么都能吃：这呆囝～，肯食。,,,,hinghwa-RAG词典
1244,嘴生长,cui4sa1dung2,tshui42ɬa21tuŋ13,多开口：汝着～去勘别侬。,,,,hinghwa-RAG词典
1245,嘴尖,cui4ziang1,tshui42tsiaŋ533,搬弄是非：婶娘侬～。,,,,hinghwa-RAG词典
1246,嘴舌,cui4si2,tshui55li13,舌头。,,,,hinghwa-RAG词典
1247,嘴舌尾,cui4si2buai3,tshui42li13uai453,舌尖。,,,,hinghwa-RAG词典
1248,嘴坏,cui4kai2,tshui42kai13,爱说别人坏话：伊者侬（她这个人）～，心肝无坏。,,,,hinghwa-RAG词典
1249,嘴含合,cui4kang2häk7,tsʻui42kaŋ13ŋɒʔ44,闭嘴：～，伓通吼（不要哭）。,,,,hinghwa-RAG词典
1250,嘴闲,cui4e2,tshui42e13,同【嘴无闲】见上方。,,,,hinghwa-RAG词典
1251,嘴闲闲,cui4e2e2,tshui42e13e13,没东西吃嘴巴闲着。②没有话题可谈：～罔讲（乱讲）。,,,,hinghwa-RAG词典
1252,嘴抹油,cui4bua5iu2,tshui42pua42iu13,说话滔滔不绝。,,,,hinghwa-RAG词典
1253,嘴软,cui4nuai3,tshui42nuai453,嘴甜。,,,,hinghwa-RAG词典
1254,嘴齿,cui4ki3,tshui55khi453,,,,同【齿】在第110页。,hinghwa-RAG词典
1255,嘴帕,cui4pä4,tshui55phɒ42,口罩。,,,,hinghwa-RAG词典
1256,嘴毒,cui4däk7,tshui42tɒʔ4,说话恶毒，伤害别人。,,,,hinghwa-RAG词典
1257,嘴厚,cui4gao5,tshui42kau21,由于生病发热等胃口不好，不想吃东西。也称“嘴涩”。,,,,hinghwa-RAG词典
1258,嘴贱,cui4zeng5,tshui42tsɛŋ21,馋嘴：只头猫子～，会偷食饭配。,,,,hinghwa-RAG词典
1259,嘴钝,cui4dong1,tshui42tɔŋ533,味觉迟钝。,,,,hinghwa-RAG词典
1260,嘴须,cui4ciu1,tshui55liu533,胡须。,,,,hinghwa-RAG词典
1261,嘴甜,cui4ding1,tshui42tiŋ533,嘴甜。△～动侬心（善于说话，讨人欢心）。,,,,hinghwa-RAG词典
1262,嘴短,cui4dë3,tshui42tø453,由于客气不肯吃别人的东西。,,,,hinghwa-RAG词典
1263,嘴鼓,cui4gou3,tshui55ɔu453,腮帮。,,,,hinghwa-RAG词典
1264,嘴窠,cui4ko1,tshui55kho533,酒窝。,,,,hinghwa-RAG词典
1265,嘴嘻嘻,cui4hi2hi2,tshui42hi13hi13,笑咪咪。,,,,hinghwa-RAG词典
1266,嘴䫌,cui4pe3,tshui55βe453,脸颊。,,,,hinghwa-RAG词典
1267,嘴擘大,cui4ba5dua5,tshui42pa42tua21,嘴巴张大：～我看。,,,,hinghwa-RAG词典
1268,嘴擘开,cui4ba5kui1,tshui42pa55ui533,张嘴：～我看。,,,,hinghwa-RAG词典
1269,床,cung2,tshuŋ13,桌子。,,,,hinghwa-RAG词典
1270,床下,cung2ä5,tshuŋ42ŋɒ21,桌子底下。,,,,hinghwa-RAG词典
1271,床布,cung2bou4,tshum55mɔu42,抹布。,,,,hinghwa-RAG词典
1272,床顶,cung2deng3,tshun21nɛŋ453,桌上。,,,,hinghwa-RAG词典
1273,床顶面,cung2deng3ming4,tshun21nɛm21miŋ42,,,,同【床面】见下方。,hinghwa-RAG词典
1274,床面,cung2ming4,tshum55miŋ42,桌面。,,,又叫【床顶面】见上方。,hinghwa-RAG词典
1275,床桄,cung2gung1,tshuŋ21kuŋ533,联结桌子四脚的横木。,,,,hinghwa-RAG词典
1276,床脚,cung2kä1,tshuŋ21khɒ533,支撑整个桌体的四个脚。,,,,hinghwa-RAG词典
1277,床椅,cung2i3,tshuŋ21ŋi453,桌椅。,,,,hinghwa-RAG词典
1278,床柜,cung2gui5,tshuŋ42ŋui21,桌柜的组合家具。,,,,hinghwa-RAG词典
1279,蛆虫,cü1tang2,tshy21laŋ13,孑孓。,,,,hinghwa-RAG词典
1280,舒,cü1,tshy533,展开；铺：～被,,,,hinghwa-RAG词典
1281,舒席,cü1ciao2,tshy21tshiau13,摊铺席子。,,,,hinghwa-RAG词典
1282,舒铺,cü1pou1,tshy21phɔu533,铺床。,,,,hinghwa-RAG词典
1283,厨公,cü2gäng1,tshy21ɒŋ533,厨师：请侬做～。,,,,hinghwa-RAG词典
1284,厨灶,cü2zao4,tshy55lau42,办喜事时在门外临时搭的灶。,,,,hinghwa-RAG词典
1285,取事,cü3so5,tshy13lo21,处理事务。,,,,hinghwa-RAG词典
1286,取和,cü3hä2,tshy13ɒ13,调解；劝解。,,,,hinghwa-RAG词典
1287,处卷纸,cü4guai4züä3,tshy21kuai55lyɒ453,评卷。,,,,hinghwa-RAG词典
1288,挦,cüä3,tshyɒ13,拔：～芒（拔毛）,,,,hinghwa-RAG词典
1289,挦地生,cüä3de5seng1,tshyɒ13te21ɛŋ533,摘取花生荚果。,,,,hinghwa-RAG词典
1290,抴,cüä4,tshyɒ42,引；带；领：～几个侬去（带几个人去）我伓知迹，汝～路（我不识路，你带路）。,,,,hinghwa-RAG词典
1291,抴火,cüä4huai3,tshyɒ55uai453,失火：蜀暝底落～，救火车开阿开过,,,,hinghwa-RAG词典
1292,䉔,cüäng1,tshyɒ533,小竹刺。,,,,hinghwa-RAG词典
1293,厂爿,cüäng3be2,tshyɒm13me13,汉字偏旁，偏厂儿“厂”。,,,,hinghwa-RAG词典
1294,挰,da2,ta21βuai533,遮挡；顶：火灯乞风吹卜灭，着用纸板来～,,,,hinghwa-RAG词典
1295,澄,da2,ta13,沉淀：水～到清（使水澄清）,,,,hinghwa-RAG词典
1296,打头风,da3tao2buai1,ta13lau21uai533,迎面而来的风；逆风。,,,,hinghwa-RAG词典
1297,打敌都,da3dik7du1,ta21tit4tu533,闹别扭：者几工（这几天）两个侬齐～。,,,,hinghwa-RAG词典
1298,𩏠,da4,ta42,拉大便时用力；使劲。,,,,hinghwa-RAG词典
1299,丈夫,da5bou1,ta21pɔu533,男人，男子。,,,,hinghwa-RAG词典
1300,大王爷,da5äng2ia2,tai21ɒŋ13ŋia13,清代抗倭名将广东人孔兆熙，北高镇后积万灵庙主祀神。,,,,hinghwa-RAG词典
1301,压岁,da5huai4,ta55uai42,除夕夜长辈给晚辈压岁钱。,,,,hinghwa-RAG词典
1302,压梆,da5bang1,ta55βaŋ533,牛拉载人的长木板（称为梆），将稻田中翻起的土压碎、压散。,,,,hinghwa-RAG词典
1303,压蔗,da5zia2,ta55lia42,种甘蔗。把蔗种浅埋入蔗畦中，露出土面约一寸左右。,,,也叫【种蔗】在第192页，【拍蔗】在第146页。,hinghwa-RAG词典
1304,压,da5,ta21,压：用石头～,,,,hinghwa-RAG词典
1305,呆囝,dai1güä3,tai55ia453,小孩。△夏天婴儿还是捂着点好）。,,,,hinghwa-RAG词典
1306,呆囝帮,dai1güä3bang1,tai21ia13paŋ533,小伙伴儿。,,,,hinghwa-RAG词典
1307,呆囝相,dai1güä3süäng1,tai21ia13ɬyɒŋ42,小孩子似的。,,,,hinghwa-RAG词典
1308,台湾客,dai2uang1ke5,tai21waŋ13khe453,定居台湾的同胞。,,,,hinghwa-RAG词典
1309,台湾檨,dai2uang1suang1,tai21uan42ɬuaŋ21,芒果。,,,,hinghwa-RAG词典
1310,大伤,dai5süäng1,tai21lyɒŋ533,身体垮了：旧年乞车轧，身体～落尾。,,,,hinghwa-RAG词典
1311,大材,dai5zai2,tai21tsai13,男子长得俊秀：汝厝囝生大～。②对于财物不计较：学会～少少，伓通小小气。③举止自然、不拘束；大胆：大～坐许，无侬敢赶汝行。,,,,hinghwa-RAG词典
1312,大慨,dai5kai4,tai55khai42,大方；不吝啬。或称大气。,,,,hinghwa-RAG词典
1313,代致,dai5di4,tai55li42,事情。△北风送夏至，早粟无～（夏至不刮北风，预兆早稻丰收）。,,,,hinghwa-RAG词典
1314,殆,dai5,tai13,“第一”的合音。△～惨无钱，～伤无眠（穷得一文钱都没有是最可怕的，而睡眠不足，对身体的伤害也是最大的）。,,,,hinghwa-RAG词典
1315,触,dak6,taʔ1,顶撞，触碰：乞牛～（被牛顶撞了）,,,,hinghwa-RAG词典
1316,答拜,dak6bai4,ta55βai42,回拜。,,,,hinghwa-RAG词典
1317,答谢,dak6sia5,tat4ɬia42,许愿的事实现后，持许愿的东西去表示谢意。,,,,hinghwa-RAG词典
1318,逐个,dak7ge2,tak4ke13,每个人。也称照个。,,,,hinghwa-RAG词典
1319,逐年,dak7ning2,tat4niŋ13,每年。,,,,hinghwa-RAG词典
1320,逐位,dak7ua5,taʔ4ua42,,,,同【满迹】在第132页。,hinghwa-RAG词典
1321,逐项,dak7iao5,taʔ4iau21,每样；每项：～事体都叫我去做。,,,,hinghwa-RAG词典
1322,逐途趁食,dak7iao5,dak7dou2teng4sia2tat4tɔu1,3thɛn55niaʔ4每一种途径都可以谋生。,,,,hinghwa-RAG词典
1323,东甲镇海堤,dang1gak6ding4hai3di2,taŋ13ŋaʔ21tiŋ55hai13te13,"福建闻名的第一大堤，可与浙江钱塘镇海堤相媲美。位于黄石镇东甲、徐厝、遮浪等村的海滩上,目前全长6.42公里，其中古堤长4.42公里，堤身全部为砌石。镇海堤抵御海潮，围垦埭田，造福于民，它使莆田南洋平原的77个村庄、30余万人口、25万亩耕田受益。唐元和八年(813)，福建观察使裴次元主持修筑镇海堤,莆田始形成南北洋平原。历代屡有重修。2006年6月被列为全国重点文物保护单位。",,,,hinghwa-RAG词典
1324,东向,dang1hiao4,taŋ21hiau42,东边。,,,也叫【东向爿】见下方。,hinghwa-RAG词典
1325,东向爿,dang1hiao4be2,taŋ21hiau42me13,,,,同【东向】见上方。,hinghwa-RAG词典
1326,冬节,dang1ze5,tan13ne21,冬至。莆仙冬至前夜，全家聚在一起搓丸祭祀祖先，冬至那天大部分人家去扫墓。,,,,hinghwa-RAG词典
1327,单丁孤姓,dang1deng1gou1sa4,tan21tɛŋ21kɔu21ɬa42,小房小姓。,,,,hinghwa-RAG词典
1328,单人爿,dang1zing2be2,tan21tsiŋ13pe13,汉字偏旁，单人旁“亻”。,,,,hinghwa-RAG词典
1329,单另,dang1ling5,tan13niŋ21,另外：好厄地生～放。,,,,hinghwa-RAG词典
1330,单面街,dang1ming4ge1,tam21miŋ55ŋe533,仅一面有房屋的街道。,,,,hinghwa-RAG词典
1331,单差,dang1do3,tan21to453,差别；不同：钱～若夥？,,,,hinghwa-RAG词典
1332,单倒,dang1do3,u21tan13to453,麻烦；差；缺少：者堵墙有～,,,,hinghwa-RAG词典
1333,同,dang2,taŋ13,向着；偏袒：伊做坏事，汝偷～,,,,hinghwa-RAG词典
1334,铜片,dang2peng4,tam55phɛŋ42,实心的铜钱。或称钱片。,,,,hinghwa-RAG词典
1335,铜钮,dang2diu3,tan21tiu453,铜质钮扣。,,,,hinghwa-RAG词典
1336,铜番,dang2huang1,taŋ21ŋuaŋ533,假银元。△～出面（喻事情败露）。,,,,hinghwa-RAG词典
1337,㴷,dang2,taŋ13,湿，与“焦（干）”相对：雨沃蜀身都～落尾。△地～出星，雨落（勿会）晴（地上被雨淋得很湿的时候，天上可以看到星星，则还会下雨）,,,,hinghwa-RAG词典
1338,旦囝,dang4güä3,taŋ55ŋyɒ453,戏班中的小旦角色。△有诸方有～（喻各种各样的角色都有）。,,,,hinghwa-RAG词典
1339,旦囝面,dang4güä3,dang4güä3ming4taŋ21ŋŋyɒ1,3miŋ42像扮演旦的角色的演员的脸蛋，形容女子美丽。,,,,hinghwa-RAG词典
1340,𧡍,dang4,taŋ42,闭目：目珠～□（闭上眼睛）。,,,,hinghwa-RAG词典
1341,淡薄,dang5bo2,tam21pɒʔ4,稍微；一点：伊有～进步，汝着乞表扬。,,,,hinghwa-RAG词典
1342,淡薄囝,dang5bo2güä3,tam21pœk1kyɒ453,副词，一点点；稍微：味素有～咸,,,,hinghwa-RAG词典
1343,兜,dao1,tau533,环绕；围绕：～蜀大圈。②延续。△暗雨～暝（入夜时下的雨，会延续大半个晚上）。③承担：△豆炒逐个食，鼎坏蜀侬～（喻有福大家享，有难一人当）。④量词。单棵的植物。,,,,hinghwa-RAG词典
1344,骰,dao2,tau13,色子。,,,,hinghwa-RAG词典
1345,投侬,dao2nang2,tau21naŋ13,在背后数落人家：△～无好话（背后说人的，一般都是坏话）。,,,,hinghwa-RAG词典
1346,斗斗落,dao3dao3lo2,tau21tau21lo13,事事爱插手。,,,,hinghwa-RAG词典
1347,昼,dao4,tau42,正午。②午饭。,,,,hinghwa-RAG词典
1348,豆腐丸,dao4uai2,tau42uai453,豆腐加佐料搓成球形，放入大量热水中稍微一煮就捞起。成品放入汤汁中煮熟。,,,,hinghwa-RAG词典
1349,罩雺,dao4bou2,tau42ɔu13,雾浓。,,,,hinghwa-RAG词典
1350,豆,dao5,tau21,大豆。,,,,hinghwa-RAG词典
1351,豆干,dao5gua1,tau21ua533,豆腐干。,,,,hinghwa-RAG词典
1352,豆卤,dao5lou3,tau21lɔu453,酱豆腐。,,,,hinghwa-RAG词典
1353,豆油,dao5iu2,tau21iu13,由大豆压榨而成的油。,,,,hinghwa-RAG词典
1354,豆点心,dao5diang3sing1,tau21ɛn13niŋ533,豆腐皮。,,,,hinghwa-RAG词典
1355,豆浆炒,dao5ziao1cä3,tau21liau13tshɒ453,莆田风味小吃。豆浆炒米粉。,,,,hinghwa-RAG词典
1356,豆浆焯米粉,dao5ziao1tëk6bi3hong3,tau21liau533thœp4pi21ɔŋ453,莆田风味小吃。本地米粉用沸腾的豆浆烫了放几分钟就可以吃。,,,,hinghwa-RAG词典
1357,豆酱,dao5ziao4,tau55tsiau42,豆瓣儿酱。,,,,hinghwa-RAG词典
1358,豆腐汤,dao5hu2tung1,tau55luŋ533,,,,同【面糊】在第131页。,hinghwa-RAG词典
1359,豆腐板,dao5hu2bang3,tau55βaŋ453,做豆腐工具，正方形木板，边长约60厘米，点过的豆腐装入滤巾，放在板上，一层豆腐一层板，把豆腐压成块状并滤出水分。,,,,hinghwa-RAG词典
1360,豆稿,dao5go3,tau21ko453,豆杆。,,,,hinghwa-RAG词典
1361,豆薯,dao5sü2,tau21ɬy13,大豆收成后种下的红薯。,,,,hinghwa-RAG词典
1362,豆糖扼软馃,dao5tung2ek6nuai3guai3,tau21ɔŋ13ɛʔ4nuai21uai453,莆田七月初七食品。糯米粉加水和匀，搓成一个个小圆球后压扁，放入滚开的清水中煮熟捞起，放入锅中，放入适量的花生油、白糖翻炒均匀，然后倒入炒熟并碾成粉末的豆粉中，使软馃均匀沾上豆粉。,,,,hinghwa-RAG词典
1363,豆䉐,dao5kou1,tau21ɔu533,黄豆榨油后的残渣，压制成直径约50公分、厚3～4公分的圆饼，作为有机化肥使用。,,,,hinghwa-RAG词典
1364,闹热,dao5zek7,tau21lɛʔ4,热闹：街当央大～（街上很热闹）,,,,hinghwa-RAG词典
1365,脰颅,dao5lü1,tau21ly533,脖子。,,,,hinghwa-RAG词典
1366,脰颅筋,dao5lü1güng1,tau21ly13kyŋ533,脖子上凸起的青筋。,,,,hinghwa-RAG词典
1367,脰颅管,dao5lü1guai3,tau21ly55kuai453,咽喉外部。,,,,hinghwa-RAG词典
1368,脰领,dao5nia3,tau21nia453,衣领。,,,也叫【领脰】在第136页。,hinghwa-RAG词典
1369,多承,dä1sing2,tɒ21liŋ13,多谢；感谢：△鹗鸠目圆圆，食了无～（喻不懂得感恩，或忘恩负义）。,,,,hinghwa-RAG词典
1370,多躇,dä1dü2,tɒ21ty13,麻烦：事体大～。,,,,hinghwa-RAG词典
1371,担,dä1,tɒ533,挑：～柴,,,,hinghwa-RAG词典
1372,担肉面,dä1nëk7ming4,tɒ21nœp4miŋ21,莆仙婚俗，婚前男方送食物礼品给女方。礼物中有“肉面”，一般放在礼盘中，和其它的礼物一起挑到女家。,,,参看【肉面】在第136页。,hinghwa-RAG词典
1373,担芽油阿,dä1gä2iu2a1,tɒ21kɒ21iu13ɛʔ4,挑着麦芽糖到处叫卖的人。,,,,hinghwa-RAG词典
